X,Y,Name,description
9.2215866,45.4904852,Grocery staples,2/23/20
114.0286797,22.5473536,Yeast,Baking supplies 2/23/2020
113.7616357,23.0165813,Yeast,2/23/2020
-157.9018039,21.3513781,Canned meat,2/26/2020
174.7510973,-36.9214819,Bananas,2/28/2020
-77.1753224,38.8060196,Pasta,2/28/2020
-122.4196713,37.7324219,Fresh Fruit,3/2/2020
-3.6873825,40.4113947,Grocery staples,3/10/2020
-111.8357881,41.7382146,Ramen,3/11/2020
-111.8357881,41.7382146,Grocery staples,3/11/2020
4.3571746,52.0092524,Flour,3/12/2020
4.3583762,52.006822,Grocery staples,3/12/2020
-122.3989606,37.8051824,Flour,3/12/2020
-89.4104139,43.0699216,Beer,3/12/2020
-74.0124497,40.7156609,Canned goods,3/12/2020
-74.226521,40.6990045,Pasta,3/12/2020
-77.0267638,38.9030051,Grocery staples,3/12/2020
-77.0645504,38.966305,Eggs,3/12/2020
-77.0379209,38.9057654,Eggs - unavailable,3/12/2020
-77.0317411,38.9121771,Grocery staples - unavailable,3/12/2020
-93.3108068,44.9616788,Canned soup,3/12/2020
-93.2119298,45.1246942,Meat,3/12/2020
-93.486588,45.0548873,Pasta,3/12/2020
-93.0361486,45.0005341,Bread,3/12/2020
-93.1899572,44.9461292,Fresh Fruit,3/12/2020
-93.2119298,45.1246942,Grocery staples,3/12/2020
-87.6267775,41.8578053,Ice cream,3/12/2020
-73.9370309,40.7912818,Grocery staples,3/12/2020
-74.226521,40.6990045,Pasta,3/12/2020
-74.0630675,40.8640595,Bread,3/12/2020
-71.1574899,42.2796755,Meat,3/12/2020
-77.0267638,38.9030051,Meat,3/12/2020
-77.0267638,38.9030051,Cereal,3/12/2020
-118.2386961,34.0384761,Fresh Fruit,3/12/2020
-118.2386961,34.0384761,Grocery staples,3/12/2020
-118.2386961,34.0384761,Meat,3/12/2020
-118.387256,34.1406382,Grocery staples,3/12/2020
-118.3865693,34.1390754,Meat,3/12/2020
-118.385711,34.1407803,Pasta,3/12/2020
-118.3886292,34.1404962,Grocery staples - unavailable,3/12/2020
-118.2559425,34.0494633,Grocery staples - unavailable,3/12/2020
-73.807756,40.7206744,Grocery staples,3/12/2020
-6.2540732,53.3208664,Grocery staples,3/12/2020
-6.2760459,53.4060936,Meat,3/12/2020
-73.7885299,40.7290004,Fresh vegetables,3/12/2020
-73.807756,40.7206744,Meat,3/12/2020
-73.7885299,40.7290004,Grocery staples - unavailable,3/12/2020
-118.1458648,34.1457219,Pasta,3/12/2020
-118.1410583,34.1465743,Canned goods,3/12/2020
-118.1458648,34.1457219,Frozen food,3/12/2020
-89.4196836,43.0676643,Wine,3/12/2020
-118.1410583,34.1465743,Rice,3/12/2020
-105.2524194,40.0167515,Grocery staples,3/12/2020
-105.3512963,40.0167515,Frozen food,3/12/2020
-111.9365424,33.4915572,Frozen food,3/12/2020
-111.9104499,33.4858306,Pasta,3/12/2020
-77.114287,38.8818647,Frozen food,3/12/2020
-77.112227,38.8882786,Canned soup,3/12/2020
-77.102614,38.8823992,Meat,3/12/2020
-77.1019274,38.8914853,Fresh Fruit,3/12/2020
-77.1067339,38.8722428,Fresh vegetables,3/12/2020
-77.1007983,38.88497,Meat,3/12/2020
-118.352608,33.9161892,Grocery staples - unavailable,Store closures reported due to lack of inventory<br>3/13/2020
13.4125832,52.5248293,Fresh Fruit,3/13/2020
-78.8795485,42.8835316,Grocery staples - unavailable,3/13/2020
-1.1389967,52.6390901,Baby food,3/13/2020
14.4235524,51.1818398,Grocery staples,3/13/2020
-77.4534931,38.7537286,UberEats,3/16/2020
9.5220494,47.1376413,Pasta,3/16/2020
9.4671177,47.1791955,Bread,3/16/2020
9.4664311,47.1605235,Pasta,3/16/2020
9.5186161,47.151185,Bread,3/16/2020
-77.4216406,38.9548363,Pasta,2/17/2020
-122.4810778,37.7708334,Fresh vegetables - unavailable,3/17/2020
-0.1083432,51.5007212,Milk - unavailable,3/18/2020
-0.1110898,51.5143972,Flour - unavailable,3/18/2020
-0.1344358,51.5142992,Grocery staples - unavailable,3/18/2020
49.1344905,55.7771514,Buckwheat,3/18/2020
-122.4207014,37.7717102,Eggs - unavailable,3/18/2020
-82.9825781,39.9316201,Pasta,3/18/2020
-82.9506375,40.0782935,Meat - unavailable,3/18/2020
-83.1144141,39.7122344,Canned goods,3/18/2020
-118.3977565,34.0207098,Bread - unavailable,3/18/2020
-122.4483564,37.7698445,Eggs - unavailable,3/19/2020
23.3085755,42.6855985,Rationing enforced,3/20/2020
-123.121746,49.2833715,Canned goods,3/23/2020
-112.1934722,33.5353506,Flour - unavailable,3/23/2020
-110.9918366,32.2468493,Pasta,3/29/2020
-0.1235713,51.5030664,Eggs - unavailable,4/1/2020
-113.5011366,53.5455422,Flour,4/6/2020
-113.5340956,53.5520696,Yeast,4/6/2020
-74.2271799,40.6991098,Fresh Fruit,4/9/2020
-74.22615,40.6985567,Fresh vegetables,4/9/2020
-74.226665,40.6980361,Flour - unavailable,4/11/2020
-77.4400607,38.81175,Frozen food,4/14/2020
-111.748657,34.8658733,Pasta - unavailable,4/15/2020
